context_before,equation,context_after,eq_type,paper_number,paper_type,equation_len,equation_en,complete,rouge_scores,rouge_2,context_quality
&,$ \bf -0.008 $,&,0,2301.03038,arxiv2023,14, bold minus 0 point 008 ,1,"{'rouge1': Score(precision=0.4, recall=0.6666666666666666, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=0.6666666666666666, fmeasure=0.5)}",0.0,Bad
,$ P_ { e e } $,", and",0,2305.16824,arxiv2023,14, P subscript open brace e e close brace ,1,"{'rouge1': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454), 'rouge2': Score(precision=0.14285714285714285, recall=0.5, fmeasure=0.22222222222222224), 'rougeL': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454)}",0.22222222222222224,Good
and,$ A^\dagger_ { [ i+1 ] } $,", giving rise to an eigenvalue problem for a two-site tensor of the form",0,2304.13395,arxiv2023,26, A to the power of dagger subscript open brace open bracket i plus 1 close bracket close brace ,1,"{'rouge1': Score(precision=0.2222222222222222, recall=1.0, fmeasure=0.3636363636363636), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2222222222222222, recall=1.0, fmeasure=0.3636363636363636)}",0.0,Bad
dimensional distribution with density,$ ( \mathcal { R } ^ { -1 } g ) ( x ) $,as per,0,2306.10601,arxiv2023,39, open parenthesis calligraphic font open brace R close brace to the power of open brace minus 1 close brace g close parenthesis open parenthesis x close parenthesis ,1,"{'rouge1': Score(precision=0.14814814814814814, recall=0.8, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14814814814814814, recall=0.8, fmeasure=0.25)}",0.0,Bad
% Let,$ T_x^ { K } $,be the,0,2307.08288,arxiv2023,14, T subscript x to the power of open brace K close brace ,1,"{'rouge1': Score(precision=0.25, recall=1.0, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=1.0, fmeasure=0.4)}",0.0,Bad
as computed for our largest systems,$ L\ ! =\ ! 24 $,",",0,2310.07486,arxiv2023,16, L factorial equals factorial 24 ,1,"{'rouge1': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715)}",0.0,Bad
&,$ 1.684 $,&,0,2306.13142,arxiv2023,9, 1 point 684 ,1,"{'rouge1': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8)}",0.0,Bad
We are now ready to prove the upperbound on,$ |\rec| $,depending on the width of,0,2310.158,arxiv2023,10, vertical bar reciprocal vertical bar ,1,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.0,Bad
g,$ is an inverse of $,f,0,Combinatorics Through Guided Discovery,textbook,20, is an inverse of ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",1.0,Good
and the process continues until,$ f^ * _ { min } $,converges .,0,2301.01594,arxiv2023,18, f to the power of times subscript open brace min close brace ,1,"{'rouge1': Score(precision=0.16666666666666666, recall=1.0, fmeasure=0.2857142857142857), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=1.0, fmeasure=0.2857142857142857)}",0.0,Bad
&,$ { 0.51 } ^ { +0.31 } _ { -0.19 } $,&,0,2310.16889,arxiv2023,36, open brace 0 point 51 close brace to the power of open brace plus 0 point 31 close brace subscript open brace minus 0 point 19 close brace ,1,"{'rouge1': Score(precision=0.21428571428571427, recall=1.0, fmeasure=0.35294117647058826), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.21428571428571427, recall=1.0, fmeasure=0.35294117647058826)}",0.0,Bad
7,$ ^ { +5.4 } _ { -3.7 } $,& 0.26,0,2302.13576,arxiv2023,25, to the power of open brace plus 5 point 4 close brace subscript open brace minus 3 point 7 close brace ,1,"{'rouge1': Score(precision=0.19047619047619047, recall=1.0, fmeasure=0.32), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.19047619047619047, recall=1.0, fmeasure=0.32)}",0.0,Bad
,$ is the temperature at a radius of 10~au . We fix the power-law index to $,-0.5,0,2311.08452,arxiv2023,75, is the temperature at a radius of 10 tilde au point We fix the power minus law index to ,1,"{'rouge1': Score(precision=0.8421052631578947, recall=1.0, fmeasure=0.9142857142857143), 'rouge2': Score(precision=0.6666666666666666, recall=0.8, fmeasure=0.7272727272727272), 'rougeL': Score(precision=0.8421052631578947, recall=1.0, fmeasure=0.9142857142857143)}",0.7272727272727272,Good
plus other terms of the form,$ c_ { i ' } d_ { u-i ' } $,", and so one of these two cases must occur :",0,2308.16472,arxiv2023,27, c subscript open brace i ' close brace d subscript open brace u minus i ' close brace ,1,"{'rouge1': Score(precision=0.3125, recall=1.0, fmeasure=0.47619047619047616), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3125, recall=1.0, fmeasure=0.47619047619047616)}",0.0,Bad
and~,"$ \alpha\ge0 , \ , \beta > -1 $",:,0,2304.03042,arxiv2023,31, alpha greater than or equal to 0 comma comma beta greater than minus 1 ,1,"{'rouge1': Score(precision=0.21428571428571427, recall=0.75, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.21428571428571427, recall=0.75, fmeasure=0.3333333333333333)}",0.0,Bad
by,$ ( 1+\mu x^2 ) $,throughout so that it can be expressed as,0,2305.02674,arxiv2023,17, open parenthesis 1 plus mu x to the power of 2 close parenthesis ,1,"{'rouge1': Score(precision=0.3076923076923077, recall=1.0, fmeasure=0.47058823529411764), 'rouge2': Score(precision=0.08333333333333333, recall=0.3333333333333333, fmeasure=0.13333333333333333), 'rougeL': Score(precision=0.3076923076923077, recall=1.0, fmeasure=0.47058823529411764)}",0.13333333333333333,Bad
where,$ \dd [ d ] { s } $,"is the volume element of Cartesian coordinates on the reference configuration . In comparison with the linear elasticity theory , the parameters",0,2304.04405,arxiv2023,19, differential open bracket d close bracket open brace s close brace ,1,"{'rouge1': Score(precision=0.18181818181818182, recall=0.6666666666666666, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.18181818181818182, recall=0.6666666666666666, fmeasure=0.28571428571428575)}",0.0,Bad
if one denotes,$ |\Gamma^ { \rm key } |=d_ { \rm key } $,and,0,2308.02376,arxiv2023,41, vertical bar Gamma to the power of open brace roman key close brace vertical bar equals d subscript open brace roman key close brace ,1,"{'rouge1': Score(precision=0.16666666666666666, recall=0.6666666666666666, fmeasure=0.26666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.6666666666666666, fmeasure=0.26666666666666666)}",0.0,Bad
it holds that,$ h^ { c } \geq g $,and,0,2301.12874,arxiv2023,19, h to the power of open brace c close brace greater than or equal to g ,1,"{'rouge1': Score(precision=0.1875, recall=0.75, fmeasure=0.3), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1875, recall=0.75, fmeasure=0.3)}",0.0,Bad
50:50 &,$ 88.8_ { \pm1.0 } $,&,0,2306.11074,arxiv2023,20, 88 point 8 subscript open brace plus or minus 1 point 0 close brace ,1,"{'rouge1': Score(precision=0.21428571428571427, recall=0.75, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.21428571428571427, recall=0.75, fmeasure=0.3333333333333333)}",0.0,Bad
&,$ \| u - u_h^2 \|_1 $,&,0,2301.02875,arxiv2023,21, vertical bar u minus u subscript h to the power of 2 vertical bar subscript 1 ,1,"{'rouge1': Score(precision=0.3125, recall=1.0, fmeasure=0.47619047619047616), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3125, recall=1.0, fmeasure=0.47619047619047616)}",0.0,Bad
,$ is not cyclic and consider $,1,0,2307.08298,arxiv2023,30, is not cyclic and consider ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",1.0,Good
where,$ \theta < \frac { 1 } { \gamma_1 } $,.,0,2311.18573,arxiv2023,37, theta less than frac open brace 1 close brace open brace gamma subscript 1 close brace ,1,"{'rouge1': Score(precision=0.3125, recall=1.0, fmeasure=0.47619047619047616), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3125, recall=1.0, fmeasure=0.47619047619047616)}",0.0,Bad
this logarithmic growth of the entropy will plateau when,$ N \sim \frac { \xi } { a } $,", where",0,2305.04437,arxiv2023,30, N similar to frac open brace xi close brace open brace a close brace ,1,"{'rouge1': Score(precision=0.2857142857142857, recall=0.8, fmeasure=0.4210526315789473), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=0.8, fmeasure=0.4210526315789473)}",0.0,Bad
and diffusions of,$ \frac { d S_ { t } } { S_ { t } } $,and the form of risk compensation associated with the spanned and unspanned components of the pricing kernel.,0,2303.16371,arxiv2023,37, frac open brace d S subscript open brace t close brace close brace open brace S subscript open brace t close brace close brace ,1,"{'rouge1': Score(precision=0.25, recall=1.0, fmeasure=0.4), 'rouge2': Score(precision=0.043478260869565216, recall=0.2, fmeasure=0.07142857142857142), 'rougeL': Score(precision=0.25, recall=1.0, fmeasure=0.4)}",0.07142857142857142,Bad
we propose to build a model,"$ { \Phi_w : G ( V , E ) \to \mathbb { R } ^ { |V| } } $",able to directly predict all the,0,2312.14836,arxiv2023,56, open brace Phi subscript w colon G open parenthesis V comma E close parenthesis tends to blackboard bold font open brace R close brace to the power of open brace vertical bar V vertical bar close brace close brace ,1,"{'rouge1': Score(precision=0.20512820512820512, recall=0.8888888888888888, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.20512820512820512, recall=0.8888888888888888, fmeasure=0.3333333333333333)}",0.0,Bad
when,$ \mu /J < 1/8 $,", the ground state is identical to that at",0,2309.05321,arxiv2023,16, mu divided by J less than 1 divided by 8 ,1,"{'rouge1': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715)}",0.0,Bad
which occurs with probability,$ ( 1+r ) / [ 2r ( i_1+1 ) + ( 1+r ) ( i_2+i_3+1 ) +2i_4 ] $,", and the layer 1 is selected with probability",0,2311.16457,arxiv2023,60, open parenthesis 1 plus r close parenthesis divided by open bracket 2r open parenthesis i subscript 1 plus 1 close parenthesis plus open parenthesis 1 plus r close parenthesis open parenthesis i subscript 2 plus i subscript 3 plus 1 close parenthesis plus 2i subscript 4 close bracket ,1,"{'rouge1': Score(precision=0.3125, recall=1.0, fmeasure=0.47619047619047616), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3125, recall=1.0, fmeasure=0.47619047619047616)}",0.0,Bad
,$ R~=~I_ { b } /I_ { a } $,", in terms of a ratio of powers instead , as this is more directly comparable to the observable Stokes parameters . The relationship between the two is given by",0,2307.14265,arxiv2023,26, R tilde equals tilde I subscript open brace b close brace divided by I subscript open brace a close brace ,1,"{'rouge1': Score(precision=0.25, recall=1.0, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=1.0, fmeasure=0.4)}",0.0,Bad
and,$ d { \rm { iz } } =0.5\rm { m } $,is less than the diameter of reflectors,0,2307.07138,arxiv2023,34, d open brace roman open brace iz close brace close brace equals 0 point 5 roman open brace m close brace ,1,"{'rouge1': Score(precision=0.23809523809523808, recall=0.7142857142857143, fmeasure=0.35714285714285715), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.23809523809523808, recall=0.7142857142857143, fmeasure=0.35714285714285715)}",0.0,Bad
,$ \mathcal { E } ( \Delta_f ) $,and,0,2310.10795,arxiv2023,31, calligraphic font open brace E close brace open parenthesis Delta subscript f close parenthesis ,1,"{'rouge1': Score(precision=0.21428571428571427, recall=0.75, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.21428571428571427, recall=0.75, fmeasure=0.3333333333333333)}",0.0,Bad
and,$ A_T\sim_T g^ * \alpha_X^ * A $,. Here,0,2312.03313,arxiv2023,32, A subscript T similar to subscript T g to the power of times alpha subscript X to the power of times A ,1,"{'rouge1': Score(precision=0.3181818181818182, recall=0.875, fmeasure=0.4666666666666667), 'rouge2': Score(precision=0.047619047619047616, recall=0.14285714285714285, fmeasure=0.07142857142857142), 'rougeL': Score(precision=0.3181818181818182, recall=0.875, fmeasure=0.4666666666666667)}",0.07142857142857142,Bad
