equation,equation_en
$ \bf -0.008 $,\bf minus 0 point 008
"$ i\in\left\lbrace 0 , 2 , 3 , 4 \right\rbrace $",i \in \left \lbrace 0 comma 2 comma 3 comma 4 \right \rbrace
$ A^\dagger_ { [ i+1 ] } $,A to the power of \dagger subscript open brace open bracket i plus 1 close bracket close brace
$ \displaystyle b=1+2\left\lfloor \sqrt { k } \right\rfloor $,\displaystyle b equals 1 plus 2 \left \lfloor \sqrt open brace k close brace \right \rfloor
$ ( \mathcal { R } ^ { -1 } g ) ( x ) $,open parenthesis \mathcal open brace R close brace to the power of open brace minus 1 close brace g close parenthesis open parenthesis x close parenthesis
$ L\ ! =\ ! 24 $,L \ factorial equals \ factorial 24
$ |\rec| $,vertical bar \rec vertical bar
"$ \alpha\ge0 , \ , \beta > -1 $",\alpha \ge 0 comma \ comma \beta greater than minus 1
$ ( 1+\mu x^2 ) $,open parenthesis 1 plus \mu x to the power of 2 close parenthesis
$ \dd [ d ] { s } $,\dd open bracket d close bracket open brace s close brace
$ |\Gamma^ { \rm key } |=d_ { \rm key } $,vertical bar \Gamma to the power of open brace \rm key close brace vertical bar equals d subscript open brace \rm key close brace
$ \exp^ { \pm \ci k_0 x } $,\exp to the power of open brace \pm \ci k subscript 0 x close brace
$ h^ { c } \geq g $,h to the power of open brace c close brace \geq g
$ 88.8_ { \pm1.0 } $,88 point 8 subscript open brace \pm 1 point 0 close brace
"$ M=1.4\ , \mathrm { M_\odot } $",M equals 1 point 4 \ comma \mathrm open brace M subscript \odot close brace
$ \| u - u_h^2 \|_1 $,\ vertical bar u minus u subscript h to the power of 2 \ vertical bar subscript 1
"$ \Proj ( \A_ { n , d } ) $",\Proj open parenthesis \A subscript open brace n comma d close brace close parenthesis
$ G_ { > 0.1 } ^\T { normal } $,G subscript open brace greater than 0 point 1 close brace to the power of \T open brace normal close brace
$ { \mathrm c } ( G ) $,open brace \mathrm c close brace open parenthesis G close parenthesis
$ \p = \ { \p_i\ } $,\p equals \ open brace \p subscript i \ close brace
$ \theta < \frac { 1 } { \gamma_1 } $,\theta less than frac open brace 1 close brace open brace \gamma subscript 1 close brace
$ x^ { \perp_P } $,x to the power of open brace \perp subscript P close brace
$ { \cal L } _ { \pm } $,open brace \cal L close brace subscript open brace \pm close brace
$ N \sim \frac { \xi } { a } $,N \sim frac open brace \xi close brace open brace a close brace
"$ d=1 , 2 , 3 , \ldots , l $",d equals 1 comma 2 comma 3 comma \ldots comma l
$ \hat { \theta } ^ { ( 1 ) } _ { mn } $,\hat open brace \theta close brace to the power of open brace open parenthesis 1 close parenthesis close brace subscript open brace mn close brace
$ \alpha=i\sqrt { 2S\Gamma_ { \rm d } } $,\alpha equals i \sqrt open brace 2S \Gamma subscript open brace \rm d close brace close brace
$ \Re { \ { J_NL_N^ * w\ } } $,\Re open brace \ open brace J subscript NL subscript N to the power of times w \ close brace close brace
"$ { \Phi_w : G ( V , E ) \to \mathbb { R } ^ { |V| } } $",open brace \Phi subscript w colon G open parenthesis V comma E close parenthesis \to \mathbb open brace R close brace to the power of open brace vertical bar V vertical bar close brace close brace
$ f_\mathrm { s } ( T ) $,f subscript \mathrm open brace s close brace open parenthesis T close parenthesis
$ \mu /J < 1/8 $,\mu divided by J less than 1 divided by 8
$ \blambda \in \overrightarrow { \Ck } ( M ) $,\blambda \in \overrightarrow open brace \Ck close brace open parenthesis M close parenthesis
$ \cbrac { \hat { x } _k } _ { k\geq 0 } $,\cbrac open brace \hat open brace x close brace subscript k close brace subscript open brace k \geq 0 close brace
$ \ # _\textsc { a } ( \textit { e } ) $,\ hash subscript \textsc open brace a close brace open parenthesis \textit open brace e close brace close parenthesis
$ m\sim \sqrt { T_ { D2 } } \sim { M_ { \rm pl } / t^ { 1/4 } _1 } $,m \sim \sqrt open brace T subscript open brace D2 close brace close brace \sim open brace M subscript open brace \rm pl close brace divided by t to the power of open brace 1 divided by 4 close brace subscript 1 close brace
$ \lambda_ { \varepsilon } \geq 0 $,\lambda subscript open brace \varepsilon close brace \geq 0
$ $ \| C_ { \varphi } f\|\geq c\|f\| . $ $,\ vertical bar C subscript open brace \varphi close brace f \ vertical bar \geq c \ vertical bar f \ vertical bar point
$ \mathcal\ { F|_ { \ol { s } } $,\mathcal \ open brace F vertical bar subscript open brace \ol open brace s close brace close brace
$ d { \rm { iz } } =0.5\rm { m } $,d open brace \rm open brace iz close brace close brace equals 0 point 5 \rm open brace m close brace
$ \mathcal { E } ( \Delta_f ) $,\mathcal open brace E close brace open parenthesis \Delta subscript f close parenthesis
$ \mathrm\ { O ( n ) $,\mathrm \ open brace O open parenthesis n close parenthesis
$ A_T\sim_T g^ * \alpha_X^ * A $,A subscript T \sim subscript T g to the power of times \alpha subscript X to the power of times A
"$ \dwp ( \calDX , \calDY ) \leq \dgwi ( \calX , \calY ) $",\dwp open parenthesis \calDX comma \calDY close parenthesis \leq \dgwi open parenthesis \calX comma \calY close parenthesis
$ L_B/\lambda_D\sim 10^3. $,L subscript B divided by \lambda subscript D \sim 10 to the power of 3 point
$ \ln ( 1/|\bar { p } _m| ) $,\ln open parenthesis 1 divided by vertical bar \bar open brace p close brace subscript m vertical bar close parenthesis
$ f ( x ) \in \zz_p [ T ] $,f open parenthesis x close parenthesis \in \zz subscript p open bracket T close bracket
$ e^S \sim T $,e to the power of S \sim T
"$ ds\mu_s ( dx ) dz\bar\a_s ( x , da ) $",ds \mu subscript s open parenthesis dx close parenthesis dz \bar \a subscript s open parenthesis x comma da close parenthesis
$ \bbF=\bbH $,\bbF equals \bbH
