equation,equation_en
$ \bf -0.008 $, bold minus 0 point 008 
$ P_ { e e } $, P subscript open brace e e close brace 
$ A^\dagger_ { [ i+1 ] } $, A to the power of dagger subscript open brace open bracket i plus 1 close bracket close brace 
$ T_x^ { K } $, T subscript x to the power of open brace K close brace 
$ L\ ! =\ ! 24 $, L factorial equals factorial 24 
$ 1.684 $, 1 point 684 
$ |\rec| $, vertical bar reciprocal vertical bar 
$ is an inverse of $, is an inverse of 
$ f^ * _ { min } $, f to the power of times subscript open brace min close brace 
$ { 0.51 } ^ { +0.31 } _ { -0.19 } $, open brace 0 point 51 close brace to the power of open brace plus 0 point 31 close brace subscript open brace minus 0 point 19 close brace 
$ ^ { +5.4 } _ { -3.7 } $, to the power of open brace plus 5 point 4 close brace subscript open brace minus 3 point 7 close brace 
$ is the temperature at a radius of 10~au . We fix the power-law index to $, is the temperature at a radius of 10 tilde au point We fix the power minus law index to 
$ c_ { i ' } d_ { u-i ' } $, c subscript open brace i ' close brace d subscript open brace u minus i ' close brace 
"$ \alpha\ge0 , \ , \beta > -1 $", alpha greater than or equal to 0 comma comma beta greater than minus 1 
$ ( 1+\mu x^2 ) $, open parenthesis 1 plus mu x to the power of 2 close parenthesis 
$ \dd [ d ] { s } $, differential open bracket d close bracket open brace s close brace 
$ |\Gamma^ { \rm key } |=d_ { \rm key } $, vertical bar Gamma to the power of open brace roman key close brace vertical bar equals d subscript open brace roman key close brace 
$ h^ { c } \geq g $, h to the power of open brace c close brace greater than or equal to g 
$ 88.8_ { \pm1.0 } $, 88 point 8 subscript open brace plus or minus 1 point 0 close brace 
$ \| u - u_h^2 \|_1 $, vertical bar u minus u subscript h to the power of 2 vertical bar subscript 1 
$ is not cyclic and consider $, is not cyclic and consider 
$ \theta < \frac { 1 } { \gamma_1 } $, theta less than frac open brace 1 close brace open brace gamma subscript 1 close brace 
$ N \sim \frac { \xi } { a } $, N similar to frac open brace xi close brace open brace a close brace 
$ \frac { d S_ { t } } { S_ { t } } $, frac open brace d S subscript open brace t close brace close brace open brace S subscript open brace t close brace close brace 
$ \mu /J < 1/8 $, mu divided by J less than 1 divided by 8 
$ ( 1+r ) / [ 2r ( i_1+1 ) + ( 1+r ) ( i_2+i_3+1 ) +2i_4 ] $, open parenthesis 1 plus r close parenthesis divided by open bracket 2r open parenthesis i subscript 1 plus 1 close parenthesis plus open parenthesis 1 plus r close parenthesis open parenthesis i subscript 2 plus i subscript 3 plus 1 close parenthesis plus 2i subscript 4 close bracket 
$ R~=~I_ { b } /I_ { a } $, R tilde equals tilde I subscript open brace b close brace divided by I subscript open brace a close brace 
$ d { \rm { iz } } =0.5\rm { m } $, d open brace roman open brace iz close brace close brace equals 0 point 5 roman open brace m close brace 
$ A_T\sim_T g^ * \alpha_X^ * A $, A subscript T similar to subscript T g to the power of times alpha subscript X to the power of times A 
$ L_B/\lambda_D\sim 10^3. $, L subscript B divided by lambda subscript D similar to 10 to the power of 3 point 
$ 49^ { +18 } _ { -12 } $, 49 to the power of open brace plus 18 close brace subscript open brace minus 12 close brace 
